ID,Sl.No,Station,City,Date,Stipend
4968,60,"Carbon Reduction Capital, LLC , Mumbai",Mumbai,"May 20th, 2025",100000
5734,61,CBX1 India Pvt Ltd,Bengaluru,"May 20th, 2025",175000
7339,62,Celeredge.ai,London,"May 22nd, 2025",500
6124,63,"CIRT- CENTRAL INSTITUTE OF ROAD TRANSPORT, PUNE",Pune,"May 22nd, 2025",
7374,64,Clickpost.AI - Product Intern,Bengaluru,"May 29th, 2025",35000
7373,65,Clickpost.AI - Software Engineer,Bengaluru,"May 29th, 2025",50000
7249,66,Cloudcraftz Solutions Pvt Limited,Bengaluru,"May 20th, 2025",50000
7250,67,CNH Industrial (India) Pvt. Ltd,Noida,"May 20th, 2025",30000
7058,68,CodeRound - Non Tech,Mumbai,"May 20th, 2025",25000
7057,69,CodeRound - Tech,Mumbai,"May 20th, 2025",40000
7350,70,Cognext Analytics Private Limited - Agentic AI,Mumbai,"May 22nd, 2025",50000
7352,71,Cognext Analytics Private Limited - Analytics / Optimization,Mumbai,"May 22nd, 2025",50000
7351,72,Cognext Analytics Private Limited - LLM,Mumbai,"May 22nd, 2025",50000
7368,73,CommerceIQ,Bengaluru,"May 29th, 2025",80000
4988,74,"Complete lnstrumentation Solutions Pvt. Ltd.,Gurugram",Gurgaon,"May 20th, 2025",
7233,75,Coresmith Technologies Private Limited (NuCurrent INC),Bengaluru,"May 20th, 2025",50000
5515,76,Covvalent,Gurgaon,"May 20th, 2025",25000
6320,77,CRED (Dreamplug technologies private limited),Bengaluru,"May 20th, 2025",100000
6373,78,Crenza Pharmaceuticals Pvt. Ltd,Hyderabad,"May 22nd, 2025",
5804,79,Critical Path Technologies Private Limited (“SalarySe) - Product,Gurgaon,"May 20th, 2025",61000
4910,80,Critical Path Technologies Private Limited (“SalarySe) - Technology,Gurgaon,"May 20th, 2025",71000
5835,81,CSIR - Central Road Research Institute (CRRI),New Delhi,"May 20th, 2025",20000
4676,82,"CSIR - National chemical laboratory, Pune",Pune,"May 20th, 2025",20000
5618,83,CSIR NML,Jamshedpur,"May 20th, 2025",
5729,84,CSIR-NAL,Bengaluru,"May 20th, 2025",20000
5954,85,CSIR-National Metallurgical Laboratory (NML) Madras Centre,Chennai,"May 22nd, 2025",20000
5148,86,"Dassault Systems,Pune",Pune,"May 22nd, 2025",40000
6148,87,"Dayworks Private Limited (Weekday), Bengaluru",Bengaluru,"May 20th, 2025",20000
4680,88,"DBOI - Business Finance,Mumbai",Mumbai,"May 29th, 2025",50000
7401,89,DBOI - CB Transformation- Bengaluru,Bengaluru,"May 29th, 2025",50000
7403,90,DBOI - CB Transformation- Mumbai,Mumbai,"May 29th, 2025",50000
